Producto,codigo,precio,categoria,unidad
ACELERACRETO TAMBO DE 200 L. MARCA CURACRETO ,A175,Ej. Sube tu Producto,CONCRETO,m176
ACELERACRETO CUBETA DE 19 L. MARCA CURACRETO,A176,Ej. Sube tu Producto,CONCRETO,m177
ACELERACRETO SC- CUBETA DE 19 L. MARCA CURACRETO,A177,Ej. Sube tu Producto,CONCRETO,m178
ACELERACRETO SC- TAMBO DE 200 L. MARCA CURACRETO ,A178,Ej. Sube tu Producto,CONCRETO,m179
ACELERANTE (NAFTELNATO DE COBALTO),A179,Ej. Sube tu Producto,CONCRETO,m180
ACERO P/BARRENACION (BROQUERO 75X2550MM),A180,Ej. Sube tu Producto,ACERO,m181
ACERO P/DEMOLICION (PULCETA 62.5 CM) ,A181,Ej. Sube tu Producto,ACERO,m182
ACERO PRESFUERZO 13MM LR>19-000KG/CM2,A182,Ej. Sube tu Producto,ACERO,m183
ACERO PRESFUERZO 15MM LR>270K C/FORRO HDP RD-13.5,A183,Ej. Sube tu Producto,ACERO,m184
ACERO PRESFUERZO BARRA 32MM LR>10-500KG/,A184,Ej. Sube tu Producto,ACERO,m185
ACERO PRESFUERZO DSI BARRA 36MM LR>10-500K,A185,Ej. Sube tu Producto,ACERO,m186
"ACERO REDONDO DE 10 MM 3/8""(0.6 KG/M) ",A186,Ej. Sube tu Producto,ACERO,m187
"ACERO REDONDO DE 13 MM 1/2""(1 KG/M) ",A187,Ej. Sube tu Producto,ACERO,m188
"ACERO REDONDO DE 16 MM 5/8"" (1.6 KG/M) ",A188,Ej. Sube tu Producto,ACERO,m189
"ACERO REDONDO DE 19 MM 3/4"" (2.3 KG/M) ",A189,Ej. Sube tu Producto,ACERO,m190
"ACERO REDONDO DE 21 MM 7/8"" (3 KG/M) ",A190,Ej. Sube tu Producto,ACERO,m191
"ACERO REDONDO DE 25 MM 1"" (3.9 KG/M) ",A191,Ej. Sube tu Producto,ACERO,m192
"ACERO REDONDO DE 28 MM 11/8"" (5 KG/M) ",A192,Ej. Sube tu Producto,ACERO,m193
"ACERO REDONDO DE 32 MM 11/4"" (6.2 KG/M) ",A193,Ej. Sube tu Producto,ACERO,m194
"ACERO REDONDO DE 35 MM 13/8"" (7.5 KG/M)",A194,Ej. Sube tu Producto,ACERO,m195
"ACERO REDONDO DE 38 MM 11/2"" (8.9 KG/M)",A195,Ej. Sube tu Producto,ACERO,m196
"ACERO REDONDO DE 44 MM 13/4"" (12.1 KG/M) ",A196,Ej. Sube tu Producto,ACERO,m197
"ACERO REDONDO DE 50 MM 2"" DE DIAMETRO (16 KG/M) ",A197,Ej. Sube tu Producto,ACERO,m198
"ACERO REDONDO ESTRUCTURAL DE 1/2"" A 2""",A198,Ej. Sube tu Producto,ACERO,m199
"ACERO REFUERZO FY=6000KG/CM2 NO 2.5 (5/16"") ",A199,Ej. Sube tu Producto,ACERO,m200
ACETILENO,A200,Ej. Sube tu Producto,HERRERIA,m201
ACIDO MURIATICO ,A201,Ej. Sube tu Producto,LIMPIEZA,m202
ACOMETIDA A CUADRO 300MM RTGAMMAP3- MARCA BTICINO ,A202,Ej. Sube tu Producto,ELECTRICO,m203
ACOMETIDA F.V. P/REG PREFABRICADO TELMEX ,A203,Ej. Sube tu Producto,ELECTRICO,m204
ACOPLADOR DUPLEX FIBRA ÓPTICA ST PARA LÍNEA LIGHT MARCA BTICINO LÍNEA BTNET NA4268ST ,A204,Ej. Sube tu Producto,ELECTRICO,m205
ACOPLADOR DUPLEX FIBRA ÓPTICA ST PARA LÍNEA LIGHT MARCA BTICINO LÍNEA BTNET NA4268ST ,A205,Ej. Sube tu Producto,ELECTRICO,m206
ACOPLADOR LIQUIDO 19MM ,A206,Ej. Sube tu Producto,ELECTRICO,m207
ACOPLADOR SC MARCA BTICINO LÍNEA BTNET C9120SC ,A207,Ej. Sube tu Producto,ELECTRICO,m208
ACOPLADOR ST MARCA BTICINO LÍNEA BTNET C9120ST ,A208,Ej. Sube tu Producto,ELECTRICO,m209
"ACOPLDOR PARA VÁLVULA DE LLENADO CUERDA ACME DE 44.4MM (13/4"") CON TUBO DE 19.1MM (3/4"")MARCA CMS ",A209,Ej. Sube tu Producto,ELECTRICO,m210
ACQUA 100 PRIMARIO ANTICORROSIVO BASE AGUA GRIS MARCA COMEX. CB/19,A210,Ej. Sube tu Producto,ACABADOS,m211
ACRIL TECHO BLANCO 12 AÑOS- 18.86 ,A211,Ej. Sube tu Producto,ACABADOS,m212
ACRIL TECHO BLANCO 12 AÑOS- 188.63 LT ,A212,Ej. Sube tu Producto,ACABADOS,m213
ACRIL TECHO BLANCO 12 AÑOS- 3.97 LT ,A213,Ej. Sube tu Producto,ACABADOS,m214
ACRIL TECHO ROJO 12 AÑOS 3.97 LT ,A214,Ej. Sube tu Producto,ACABADOS,m215
ACRIL TECHO ROJO 12 AÑOS- 18.86 LT ,A215,Ej. Sube tu Producto,ACABADOS,m216
ACRIL TECHO ROJO 12 AÑOS- 188.63 LT ,A216,Ej. Sube tu Producto,ACABADOS,m217
ACRILCRETO BLANCO-200- CARTUCHO DE 0.33 L. MARCA CURACRETO ,A217,Ej. Sube tu Producto,ACABADOS,m218
ACRILCRETO BLANCO-200- CUBETA DE 19 L. MARCA CURACRETO ,A218,Ej. Sube tu Producto,ACABADOS,m219
ACRILCRETO GRIS-104- CARTUCHO DE 0.33 L. MARCA CURACRETO ,A219,Ej. Sube tu Producto,ACABADOS,m220
ACRILCRETO GRIS-104- CUBETA DE 19 L. MARCA CURACRETO ,A220,Ej. Sube tu Producto,ACABADOS,m221
ACRILICO COLOR 1.80X1.20 ESP.3 MM ,A221,Ej. Sube tu Producto,ACABADOS,m222
ACRILICO COLOR 1.80X1.20 ESP.4 MM ,A222,Ej. Sube tu Producto,ACABADOS,m223
ACRILICO COLOR 1.80X1.80 ESP.3 MM ,A223,Ej. Sube tu Producto,ACABADOS,m224
ACRILICO COLOR 2.40X1.20 ESP.4 MM ,A224,Ej. Sube tu Producto,ACABADOS,m225
ACRILICO COLOR 2.40X1.80 ESP.3 MM ,A225,Ej. Sube tu Producto,ACABADOS,m226
ACRILICO COLOR 2.40X1.80 ESP.4 MM,A226,Ej. Sube tu Producto,ACABADOS,m227
ACRILICO COLOR 4 1.80X1.80 ESP.4 MM ,A227,Ej. Sube tu Producto,ACABADOS,m228
ACRILICO CRISTAL 1.80X1.20 ESP.3 MM ,A228,Ej. Sube tu Producto,ACABADOS,m229
ACRILICO CRISTAL 1.80X1.20 ESP.4 MM ,A229,Ej. Sube tu Producto,ACABADOS,m230
ACRILICO CRISTAL 1.80X1.80 ESP.3 MM ,A230,Ej. Sube tu Producto,ACABADOS,m231
